职位名称,职位类别,人数,地点,发布时间
22989-腾讯云大客户售后高级顾问（北京）,技术类,2,北京,2017-12-13
SNG03-互动视频web前端开发工程师（深圳）,技术类,3,深圳,2017-12-13
18796-PC游戏发行运营(上海）,产品/项目类,1,上海,2017-12-13
MIG09-浏览器社区产品策划经理,产品/项目类,1,深圳,2017-12-13
MIG03-后台测试开发工程师（北京）,技术类,1,北京,2017-12-13
WXG07-117 微信读书Android移动客户端开发工程师（广州）,技术类,1,广州,2017-12-13
23517-3D换装手游市场推广,产品/项目类,1,深圳,2017-12-13
21062-高级游戏美术师（上海）,设计类,1,上海,2017-12-13
SNG06-手Q漫画版权商务经理 （深圳）,内容编辑类,1,深圳,2017-12-13
24547-高级商业产品策划（上海）,产品/项目类,1,上海,2017-11-02
MIG16-地图数据策略工程师（北京）,技术类,1,北京,2017-11-02
MIG16-大数据平台开发工程师(北京),技术类,2,北京,2017-11-02
24491-王者荣耀全球版-海外渠道高级经理（深圳）,市场类,2,深圳,2017-11-02
22989-移动云解决方案架构师（北京/上海/深圳）,技术类,1,北京,2017-11-02
21309-企鹅辅导高级教研经理（北京）,产品/项目类,4,北京,2017-11-02
MIG16-地图数据高级产品经理(北京),产品/项目类,1,北京,2017-11-02
24491-王者荣耀全球版-欧美游戏内容运营（深圳）,产品/项目类,1,深圳,2017-11-02
18436-高级web前端开发工程师（深圳）,技术类,1,深圳,2017-11-02
18436-java架构师,技术类,2,深圳,2017-11-02
SNG01-手Q跨平台高级开发工程师（深圳）,技术类,1,深圳,2017-12-13
MIG07-安全研究员（深圳）,技术类,1,深圳,2017-12-13
RL-组织发展高级经理（干部管理）(深圳),职能类,1,深圳,2017-12-13
22989-腾讯云海外架构师（深圳）,技术类,1,深圳,2017-12-13
22989-腾讯云渠道生态副总监（深圳）,技术类,1,深圳,2017-12-13
SNG11-高级数据分析师（深圳）,技术类,2,深圳,2017-11-03
24547-战略高级分析师,市场类,1,北京,2017-11-03
22989-腾讯云服务器系统工程师（深圳）,技术类,2,深圳,2017-11-03
OMG153-数据分析师（北京）,市场类,1,北京,2017-11-03
19511-游戏学院内部培训经理（深圳）,产品/项目类,2,深圳,2017-11-02
MIG16-地图POI数据挖掘高级研发工程师（北京）,技术类,1,北京,2017-11-03
MIG16-地图POI数据策略研发工程师（北京）,技术类,1,北京,2017-11-03
HY2-运营开发高级工程师（上海）,技术类,1,上海,2017-11-03
HY2-Web前端开发工程师（上海）,技术类,1,上海,2017-11-03
HY2-后台开发工程师（深圳）,技术类,1,深圳,2017-11-03
TEG05-高级前台开发工程师（深圳）,技术类,1,深圳,2017-12-13
SNG11-测试开发工程师（深圳）,技术类,1,深圳,2017-12-13
19332-企点KA产品经理（上海）,产品/项目类,1,上海,2017-12-13
22989-腾讯云高级后台开发(互联网业务)（北京）,技术类,6,北京,2017-12-13
MIG16-自动驾驶SLAM算法工程师（北京）,技术类,1,北京,2017-12-13
MIG16-自动驾驶三维感知算法工程师（北京）,技术类,2,北京,2017-12-13
TEG04-PHP开发工程师（深圳）,技术类,3,深圳,2017-12-13
SNG03-互动视频C++/C后台开发工程师（深圳）,技术类,4,深圳,2017-12-13
14914-整合传播公关经理（深圳）,None,1,深圳,2017-12-13
17229-射击游戏关卡策划（深圳）,产品/项目类,3,深圳,2017-12-13
SNG07-质量管理工程师（深圳）,技术类,2,深圳,2017-11-06
MIG18-机器学习算法工程师（深圳）,技术类,1,深圳,2017-11-06
MIG16-地图定位算法研究员（北京）,技术类,1,北京,2017-11-04
SNG11-数据分析师（深圳）,技术类,1,深圳,2017-11-03
TEG06-系统测试工程师（深圳）,技术类,1,深圳,2017-11-03
MIG16-定位SDK研发工程师（北京）,技术类,1,北京,2017-11-06
24491-王者荣耀全球版-高级UI设计师,设计类,1,深圳,2017-11-06
SNG04-QQ看点IOS视频客户端开发工程师（深圳）,技术类,1,深圳,2017-11-06
MIG16-自动驾驶数据平台大数据高级系统架构师(北京),技术类,2,北京,2017-11-06
21085-游戏运维工程师（深圳）,技术类,1,深圳,2017-11-06
17229-射击游戏数值策划（深圳）,产品/项目类,1,深圳,2017-12-13
22989-腾讯云行业架构师（北京）,技术类,2,北京,2017-12-13
22989-腾讯云运营产品中心PHP运营开发工程师（深圳）,技术类,1,深圳,2017-12-13
22989-腾讯云行业架构师（深圳）,技术类,2,深圳,2017-12-13
